"RANKING","PAIS","EDAT","TORNEJOS","TITOLS","GUANYS_IND","WIN","LOSE","ATP","GUANYSNORM","GUANYSDISC"
297,"TPE",26,20,0,21757,0,0,"NOATP",0.013,"BAIX"
298,"FRA",22,24,0,21156,0,0,"NOATP",-0.009,"BAIX"
299,"LTU",26,26,0,27152,3,2,"ATP",0.204,"BAIX"
300,"CAN",26,27,0,68448,0,1,"ATP",1.668,"MIG"
301,"RUS",31,36,0,27512,0,0,"NOATP",0.217,"BAIX"
302,"NZL",30,31,0,31226,1,4,"ATP",0.348,"MIG-BAIX"
303,"ITA",26,24,0,61153,0,1,"ATP",1.409,"MIG"
304,"FRA",20,31,0,60821,0,1,"ATP",1.397,"MIG"
305,"CHN",18,15,0,59204,1,2,"ATP",1.34,"MIG"
306,"ITA",21,12,0,30601,1,1,"ATP",0.326,"MIG-BAIX"
307,"AUS",25,3,0,37490,0,1,"ATP",0.57,"MIG-BAIX"
308,"TUR",30,34,0,30748,3,2,"ATP",0.331,"MIG-BAIX"
309,"ARG",22,19,0,22562,0,0,"NOATP",0.041,"BAIX"
310,"SVK",24,24,0,23104,0,0,"NOATP",0.061,"BAIX"
311,"AUS",24,18,0,141295,1,2,"ATP",4.249,"ALT"
312,"ESP",20,32,0,28870,0,0,"NOATP",0.265,"BAIX"
313,"GER",30,17,0,97964,1,4,"ATP",2.714,"MIG-ALT"
314,"CRO",28,18,0,26352,0,1,"ATP",0.176,"BAIX"
315,"POR",22,24,0,24474,2,1,"ATP",0.109,"BAIX"
316,"SWE",27,25,0,24580,1,0,"ATP",0.113,"BAIX"
317,"TPE",34,29,0,45681,0,1,"ATP",0.861,"MIG-BAIX"
318,"ESP",26,26,0,55729,0,0,"NOATP",1.217,"MIG-BAIX"
319,"BEL",30,30,0,29747,0,0,"NOATP",0.296,"MIG-BAIX"
320,"ITA",24,23,0,21212,0,0,"NOATP",-0.007,"BAIX"
321,"RUS",21,28,0,26484,0,0,"NOATP",0.18,"BAIX"
322,"AUS",21,22,0,33107,0,0,"NOATP",0.415,"MIG-BAIX"
324,"FRA",26,18,0,20526,0,0,"NOATP",-0.031,"BAIX"
325,"ARG",23,24,0,21069,0,0,"NOATP",-0.012,"BAIX"
326,"ITA",26,27,0,28802,0,1,"ATP",0.262,"BAIX"
327,"AUT",21,22,0,15986,0,0,"NOATP",-0.192,"BAIX"
328,"JPN",27,26,0,72674,0,0,"NOATP",1.817,"MIG"
329,"AUS",20,25,0,78191,0,2,"ATP",2.013,"MIG"
330,"GER",25,19,0,22041,0,0,"NOATP",0.023,"BAIX"
331,"IND",20,19,0,19286,0,0,"NOATP",-0.075,"BAIX"
332,"CRO",20,30,0,22085,0,0,"NOATP",0.024,"BAIX"
333,"CRO",32,4,0,82067,3,2,"ATP",2.15,"MIG"
334,"CRO",30,16,0,49921,2,5,"ATP",1.011,"MIG-BAIX"
335,"BRA",24,21,0,23503,0,0,"NOATP",0.075,"BAIX"
336,"GER",29,11,0,20254,0,0,"NOATP",-0.04,"BAIX"
337,"CAN",33,13,0,57529,1,1,"ATP",1.281,"MIG-BAIX"
